comment,popular
豆花推立晉會被噓,non-popular
快來私訊我跟我當朋友真心不騙,non-popular
跟老師道歉??,non-popular
無卡分期改的 停車費又不能分期 怪我嘍,non-popular
"https://www.dcard.tw/f/talk/p/237568265?cid=F9224A4A-4695-40BC-BF9F-C1DA24BEE0FA
 

 你各位被當成盤子了??",non-popular
b2我沒了,non-popular
"B1 又是你
 煩不煩啊
 系上沒朋友嗎",popular
可能在想什麼時候又可以鬼切了,non-popular
現在應該是沒了,non-popular
珂拉琪超級讚的啦,non-popular
"B6 男生一律都來我家
 乖！聽話！",non-popular
卡後續,non-popular
簽起來??,non-popular
天才欸 好人一生平安,non-popular
我也睡不著??,non-popular
"居然欺負主要客源的輔大生
 進攻了各位",non-popular
這就是交友軟體盛行的原因啊,non-popular
B5 是真滴可愛啦 而且發情不分季節,non-popular
"幫您加油！給您打氣！我覺得老闆就贏過一大堆人了∼願意出來創業（先不論成功或失敗）至少比那些啃老族or整天喊累不做事情的??
 陽明山冬天很冷 願你能挺過 也保持著當初的初心∼??",non-popular
"笑回去啊
 笑他們太高",popular
soulsadggwp 工管最帥,non-popular
好ㄎㄧㄤ啊哈哈哈哈哈,non-popular
你的卡稱有聲音,non-popular
我也要一起玩,non-popular
"B5 請自行放生
 我寧願當個獨行俠也不要身邊都是一群拖垮我的酒肉朋友只會玩樂==該認真的時候就躺著
 醒醒吧：）",non-popular
在c棟沒聽到欸,non-popular
"真男人都是用砂紙上廁所的
 https://i.imgur.com/5czELll.jpg",popular
