text,label
星巴克Starbucks詐騙邀請LINE訊息. 原始謠傳版本：. 統一星巴克starbucks 請您喝咖啡! 目前全國門市皆可使用凡加入即可領取免費兌換卷乙張▽ 歡慶新年星巴克加入後免費領取一年份大杯咖啡卷(不限咖啡) 我跟你說..我剛剛已經領到了!!!現在新年期間加入星巴克官方LINE好友，限時限量領取免費咖啡兌換卷乙 ...,1
"转摘：
我给大家透漏个家传秘密，每天出门前用棉签蘸点小磨香油，滴进两个鼻孔内，轻捏几下即可，这样就可以阻断一切流感和温疫传染，这是我家不传之秘决，今告知大家，望大家过一个快乐，祥和的春节。
   民国27年河南瘟疫，死人无数，我外公就是每天这样给别人看病，救人无数，当时也没口罩之说，就是这种方法阻断传染，十分有效，故作秘传。",1
各位朋友請注意，剛才在承德路被警察攔下臨檢，因為當時沒有戴口罩，被警察詢問車上有沒有乘客，我說下班要回家了，然後警察說防疫期間只要車上有乘客不管是不是親屬只要車上有乘客駕駛沒帶口罩一律開罰,1
亡國危機迫在眉睫- -家庭觀念及性別認同危機。這支影片看後你我都有責仼，請及時踴躍發聲！轉發出去~也請踴躍參與連署，勿讓妖魔鬼怪毀滅家庭與倫常。,1
"(shiny)臭跩貓回來囉(shiny)
限時活動發放貼圖主題
超可愛白爛貓愛嗆人嗆不停
分享完後稍等待即可下載
↓ ↓ ↓ ↓ 領取點下方頁面 ↓ ↓ ↓ ↓",1
"有個重要的觀念，希望能再度提醒大家一下 ： 我們現在對付的是  “病毒”， 不是“細菌”。    
目前網上流傳的一些 方法，或習慣， 都是 對付“細菌” 的觀念。 
大部分是無效的。 重要的， 反而忽略了。                                                                                                                                                                                                                                                        
細菌：有細胞， 能獨立生存， 到處都是， 我們身體内外都是， 有的好，有的坏， 壞的，我們可用藥物  去消滅。
病毒， 很小， 約細菌的千分之一 （或以下）， 沒有細胞， 不能獨立生存， 必須藏在宿主 （如： 人體 / 獸體）裏頭。 沒有藥物可以消滅 ，  但， 一旦離開宿主， 幾秒鐘到幾分鐘， 就會死亡。                         
所以， 什麽酒精， 漂白水， 對  病毒是無用的。 唯一的方法， 就是 隔離它，： 別讓病毒跑到人體内。 會進入人體内的地方只有四處：口， 鼻， 眼， 傷口。 所以， 口罩才那麽重要。 另外， 最好也戴眼鏡 ， 有傷口， 要包好， 應該就沒問題了。
嗎另外。對歌班同學， 及愛上卡拉 的同學。有個重要的觀念，希望能再度提醒大家一下 ： 我們現在對付的是  “病毒”， 不是“細菌”。 目前網上流傳的一些 方法，或習慣， 都是 對付“細菌” 的觀念。大部分是無效的。重要的， 反而忽略了。                                                                                                                                                                                                                                                        
細菌：有細胞， 能獨立生存，到處都是， 我們身體内外都是， 有的好，有的坏， 壞的，我們可用藥物  去消滅。
病毒， 很小， 約細菌的千分之一 （或以下）， 沒有細胞， 不能獨立生存， 必須藏在宿主 （如： 人體 / 獸體）裏頭。 沒有藥物可以消滅 ，  但， 一旦離開宿主， 幾秒鐘到幾分鐘， 就會死亡。                         
所以， 什麽酒精， 漂白水， 對  病毒是無用的。唯一的方法，就是隔離它，：別讓病毒跑到人體内。會進入人體内的地方只有四處：口， 鼻， 眼，傷口。所以， 口罩才那麽重要。 另外，最好也戴眼鏡 ， 有傷口， 要包好， 應該就沒問題了。
另外。 對歌班同學，及愛上卡拉 的同學，就要特別特別注意了：病毒， 非常非常小，非常非常輕， 有人唱歌， 飛沫馬上全場飛， 十幾公尺  馬上到。 也就是説， 我們教室内， 甚至 KTV， 幾乎整個涵蓋， 傳染率， 是非常非常高的。 如果非唱不可， 有幾點請特別特別注意： 必須 （說三次三次） 戴口罩 （最好也戴眼鏡）， 唱的時候，帶自用的 嘜罩， 唱一次， 換一個新的； 而且， 有數個麥克風輪著用 （只少隔開 5 分鐘以上， 讓病毒夠時間  死亡），喜歡用酒精的， 還是可以用， 但， 那只是殺”菌“， 不能殺”病毒“。                                          至於我個人， 這段時間是絕對不會去  卡拉的。 
希望本班同學， 大家 健康， 平安！                                                                                                                                                                                                                           。就要特別特別注意了：病毒， 非常非常小， 非常非常輕， 有人唱歌， 飛沫馬上全場飛， 十幾公尺  馬上到。 也就是説， 我們教室内， 甚至 KTV， 幾乎整個涵蓋， 傳染率， 是非常非常高的。 如果非唱不可， 有幾點請特別特別注意： 必須 （說三次三次） 戴口罩 （最好也戴眼鏡）， 唱的時候，帶自用的 嘜罩， 唱一次， 換一個新的； 而且， 有數個麥克風輪著用 （只少隔開 5 分鐘以上， 讓病毒夠時間  死亡），喜歡用酒精的， 還是可以用， 但， 那只是殺”菌“， 不能殺”病毒“。                                          至於我個人， 這段時間是絕對不會去  卡拉的。 
。希望本班同學， 大家 健康， 平安！                                                                                                                                                                                                                           ",1
網路上流傳吃蕨菜會致癌真的假的,1
"高雄鐵路地下化通車啟用……
搭車贈一卡通紀念卡",1
"这是我刚刚收到的消息：
转清华群的消息：来自武汉抗击疫情第一线的消息，李留树（呼吸肿瘤博士）刚从武汉打来电话给他同学：一、疫情很快就会有效控制，十天左右会显著逆转。二、美国的抗病毒药瑞德西韦用在临床病人身上十分有效，危重病人已经开始好转，中西医支持联合用药，治愈病人完全有信心。三、武汉的疫情完全可以控制，情况已经有明显改善。李留树主任67岁，是原301医院第四中心呼吸肿瘤科主任，他是一个真正会看病的博士后专家。他是做为志愿者自己赴武汉抗疫的，今早他从第一线打来电话告诉了他同学这样的好消息，十分感动。中国加油！武汉加油！李博士加油！致敬逆行者🙏🙏🙏",1
"准備一只圓珠筆，去芯，去芯，去芯。進電梯的時候拔下筆帽來，用筆尖去按按鈕，用完了馬上蓋上筆蓋，放在兜裡，可以多次使用。

鍾南山說，電梯是最大的感染源，大家進電梯一定戴口罩，手不要碰任何東西。

筆不是醫療物資，隨處都可以買到。

好方法，請廣傳！",1
